test-profile,mar, 7 ago 2018 01:27:07 CLT
Method,ASSERT,B,BRANCH,CALL,CALLED,CALLEDp,CALLEDt,CAST,CAUGHT,CDENS,CLOC,COM_RAT,CONTROL,D,E,ev(G),EXEC,EXP,IF_NEST,iv(G),JLOC,LOC,LOOP,LOOP_NEST,N,n,NBD,NCLOC,NP,NTP,NULL,OVER,QCP_CRCT,QCP_MAINT,QCP_RLBTY,RETURN,RLOC,STAT,TCOM_RAT,THROWS,TODO,V,v(G)
"org.jivesoftware.smackx.iqregister.AccountManager.AccountManager(XMPPConnection)",0,0,0,1,1,1,0,0,0,"0,00%",5,"62,50%",0,1,12,1,1,3,0,1,5,8,0,0,4,4,0,3,1,0,0,n/a,4,15,8,1,"2,32%",1,"166,67%",0,0,8,1
"org.jivesoftware.smackx.iqregister.AccountManager.changePassword(String)",0,0,0,17,0,0,0,0,0,"11,11%",13,"52,00%",1,14,2.507,2,8,48,1,2,13,25,0,0,37,27,1,12,1,0,0,n/a,27,125,54,1,"7,25%",9,"108,33%",4,0,175,3
"org.jivesoftware.smackx.iqregister.AccountManager.createAccount(DataForm)",0,0,0,18,0,0,0,0,0,"30,00%",12,"44,44%",3,16,4.106,4,7,58,1,2,5,27,0,0,51,30,1,15,1,0,2,n/a,34,172,75,1,"7,83%",10,"80,00%",4,0,250,5
"org.jivesoftware.smackx.iqregister.AccountManager.createAccount(Localpart,String)",0,0,0,4,1,1,0,0,0,"25,00%",16,"69,57%",1,4,248,1,3,13,0,2,15,23,1,1,14,13,1,7,2,0,0,n/a,12,51,26,1,"6,67%",4,"228,57%",4,0,51,2
"org.jivesoftware.smackx.iqregister.AccountManager.createAccount(Localpart,String,Map<String, String>)",0,0,0,16,2,2,0,0,0,"25,00%",14,"43,75%",3,14,3.318,4,9,53,1,2,14,32,0,0,47,31,1,18,3,0,1,n/a,34,162,73,1,"9,28%",12,"77,78%",4,0,232,5
"org.jivesoftware.smackx.iqregister.AccountManager.createStanzaCollectorAndSend(IQ)",0,0,0,4,5,5,0,0,0,"0,00%",0,"0,00%",0,7,188,1,1,9,0,1,0,3,0,0,9,8,0,3,1,0,0,n/a,10,30,13,1,"0,87%",1,"0,00%",2,0,26,1
"org.jivesoftware.smackx.iqregister.AccountManager.deleteAccount()",0,0,0,9,1,1,0,0,0,"0,00%",12,"60,00%",0,8,704,1,6,26,0,1,11,20,0,0,20,16,0,8,0,0,0,n/a,16,68,29,1,"5,80%",6,"150,00%",4,0,80,1
"org.jivesoftware.smackx.iqregister.AccountManager.getAccountAttribute(String)",0,0,0,3,0,0,0,0,0,"33,33%",12,"66,67%",1,5,221,1,2,11,1,2,12,18,0,0,12,11,1,6,1,0,1,n/a,12,44,23,1,"5,22%",3,"200,00%",4,0,41,2
"org.jivesoftware.smackx.iqregister.AccountManager.getAccountAttributes()",0,0,0,5,3,3,0,0,0,"33,33%",28,"71,79%",2,12,937,2,4,20,1,3,28,39,0,0,20,15,1,11,0,0,2,n/a,24,73,37,2,"11,30%",6,"254,55%",4,0,78,3
"org.jivesoftware.smackx.iqregister.AccountManager.getAccountInstructions()",0,0,0,2,0,0,0,0,0,"33,33%",11,"64,71%",1,5,166,1,2,8,1,2,11,17,0,0,10,9,1,6,0,0,1,n/a,12,38,21,1,"4,93%",3,"183,33%",4,0,31,2
